Fecha,Media,Max,Min,Febrero
01/02/2016,17.5,26,9,
02/02/2016,20,26,14,
03/02/2016,19.5,28,11,
04/02/2016,13.5,22,5,
05/02/2016,13.5,23,4,
21/01/1900,14,21,7,
07/02/2016,13,23,3,
08/02/2016,12.5,21,4,
09/02/2016,11,17,5,
10/02/2016,10.5,15,6,
11/02/2016,13,22,4,
12/02/2016,13.5,22,5,
13/02/2016,12.5,23,2,
14/02/2016,15.5,25,6,
15/02/2016,16.5,23,10,
16/02/2016,16.5,24,9,
17/02/2016,15.5,25,6,
18/02/2016,14,24,4,
19/02/2016,17,26,8,
20/02/2016,16,26,6,
21/02/2016,17.5,27,8,
22/02/2016,18.5,27,10,
23/02/2016,20.5,28,13,
24/02/2016,19,28,10,
25/02/2016,16.5,25,8,
26/02/2016,18,25,11,
27/02/2016,14.5,20,9,
28/02/2016,15.5,23,8,
29/02/2016,16.5,23,10,
,,,,
01/04/2016,22,29,15,
02/04/2016,21.5,30,13,
03/04/2016,19,30,8,
04/04/2016,21,30,12,
05/04/2016,21,31,11,
06/04/2016,21,30,12,
07/04/2016,22,31,13,
08/04/2016,22.5,30,15,
09/04/2016,22,30,14,
10/04/2016,21,27,15,
11/04/2016,21,29,13,
12/04/2016,23,31,15,
13/04/2016,21.5,29,14,
14/04/2016,22,30,14,
15/04/2016,22,30,14,
16/04/2016,22,30,14,
17/04/2016,21.5,27,16,
18/04/2016,22.5,30,15,
19/04/2016,18.5,24,13,
20/04/2016,16,21,11,
21/04/2016,17,23,11,
22/04/2016,14.5,19,10,
23/04/2016,17,21,13,
24/04/2016,19,26,12,
25/04/2016,20.5,28,13,
26/04/2016,20,26,14,
27/04/2016,21.5,30,13,
28/04/2016,22,28,16,
29/04/2016,23.5,30,17,
30/04/2016,22,28,16,
,,,,Junio
01/06/2016,19.5,25,14,
02/06/2016,19.5,26,13,
03/06/2016,19,23,15,
04/06/2016,19.5,25,14,
05/06/2016,18.5,25,12,
06/06/2016,17,22,12,
07/06/2016,18,23,13,
08/06/2016,18.5,25,12,
09/06/2016,19,23,15,
10/06/2016,19,23,15,
11/06/2016,19.5,25,14,
12/06/2016,19,24,14,
13/06/2016,18.5,23,14,
14/06/2016,20,26,14,
15/06/2016,20.5,26,15,
16/06/2016,21.5,28,15,
17/06/2016,18.5,27,10,
18/06/2016,20.5,26,15,
19/06/2016,19.5,25,14,
20/06/2016,17.5,21,14,
21/06/2016,18,23,13,
22/06/2016,19.5,26,13,
23/06/2016,17.5,23,12,
24/06/2016,18.5,23,14,
25/06/2016,19,23,15,
26/06/2016,19,23,15,
27/06/2016,20.5,27,14,
28/06/2016,20,26,14,
29/06/2016,19,25,13,
30/06/2016,19,25,13,
,,,,Agosto
01/08/2016,19,25,13,
02/08/2016,20,26,14,
03/08/2016,19,25,13,
04/08/2016,20,27,13,
05/08/2016,18.5,22,15,
06/08/2016,17.5,22,13,
07/08/2016,19.5,24,15,
08/08/2016,17.5,22,13,
09/08/2016,21,27,15,
10/08/2016,19,23,15,
11/08/2016,20,26,14,
12/08/2016,20.5,27,14,
13/08/2016,20,28,12,
14/08/2016,19,25,13,
15/08/2016,19.5,26,13,
16/08/2016,18.5,23,14,
17/08/2016,19.5,24,15,
18/08/2016,20,25,15,
19/08/2016,21,27,15,
20/08/2016,20,26,14,
21/08/2016,19,24,14,
22/08/2016,17.5,22,13,
23/08/2016,17.5,23,12,
24/08/2016,19.5,25,14,
25/08/2016,19.5,26,13,
26/08/2016,19.5,25,14,
27/08/2016,20.5,27,14,
28/08/2016,20.5,27,14,
29/08/2016,20,26,14,
30/08/2016,19.5,26,13,
31/08/2016,19.5,27,12,
,,,,Octubre
01/10/2016,18.5,24,13,
02/10/2016,19,25,13,
03/10/2016,19.5,27,12,
04/10/2016,19.5,25,14,
05/10/2016,20,26,14,
06/10/2016,19.5,26,13,
07/10/2016,19,26,12,
08/10/2016,17.5,22,13,
09/10/2016,15,18,12,
10/10/2016,16,21,11,
11/10/2016,19,25,13,
12/10/2016,19,25,13,
13/10/2016,20,26,14,
14/10/2016,17,25,9,
15/10/2016,18,26,10,
16/10/2016,18,26,10,
17/10/2016,18,25,11,
18/10/2016,19,26,12,
19/10/2016,18,25,11,
20/10/2016,18,25,11,
21/10/2016,15.5,19,12,
22/10/2016,15.5,19,12,
23/10/2016,17,23,11,
24/10/2016,19,25,13,
25/10/2016,17.5,23,12,
26/10/2016,16,23,9,
27/10/2016,14.5,19,10,
28/10/2016,12.5,17,8,
29/10/2016,15.5,21,10,
30/10/2016,17.5,24,11,
31/10/2016,16,21,11,
,,,,Diciembre
01/12/2016,18.5,26,11,
02/12/2016,19,26,12,
03/12/2016,17,24,10,
04/12/2016,17.5,23,12,
05/12/2016,17,22,12,
06/12/2016,18,26,10,
07/12/2016,18,27,9,
08/12/2016,17.5,26,9,
09/12/2016,16.5,20,13,
10/12/2016,15,20,10,
11/12/2016,16.5,22,11,
12/12/2016,17,24,10,
13/12/2016,15.5,23,8,
14/12/2016,16,24,8,
15/12/2016,16.5,22,11,
16/12/2016,17.5,24,11,
17/12/2016,17.5,24,11,
18/12/2016,17.5,24,11,
19/12/2016,17,23,11,
20/12/2016,16,23,9,
21/12/2016,16,24,8,
22/12/2016,16,25,7,
23/12/2016,14.5,24,5,
24/12/2016,16.5,25,8,
25/12/2016,15.5,22,9,
26/12/2016,16,23,9,
27/12/2016,15,24,6,
28/12/2016,18,25,11,
29/12/2016,17,24,10,
30/12/2016,15.5,20,11,
31/12/2016,15.5,23,8,
